measurement,symbol,open,high,low,close,timestamp
stock,vix,13.290000,13.910000,13.290000,13.570000,1359356400000000000
stock,vix,13.870000,13.880000,13.040000,13.310000,1359442800000000000
stock,vix,13.640000,14.330000,13.600000,14.320000,1359529200000000000
stock,vix,14.430000,14.430000,14.040000,14.280000,1359615600000000000
stock,vix,13.370000,13.380000,12.720000,12.900000,1359702000000000000
stock,vix,14.000000,14.750000,13.800000,14.670000,1359961200000000000
stock,vix,14.210000,14.210000,13.390000,13.720000,1360047600000000000
stock,vix,14.060000,14.080000,13.340000,13.410000,1360134000000000000
stock,vix,13.470000,14.410000,13.430000,13.500000,1360220400000000000
stock,vix,13.200000,13.200000,12.890000,13.020000,1360306800000000000
stock,vix,13.370000,13.420000,12.910000,12.940000,1360566000000000000
stock,vix,12.820000,13.130000,12.630000,12.640000,1360652400000000000
stock,vix,12.880000,13.190000,12.670000,12.980000,1360738800000000000
stock,vix,13.300000,13.320000,12.640000,12.660000,1360825200000000000
stock,vix,12.470000,12.890000,12.240000,12.460000,1360911600000000000
stock,vix,12.810000,12.850000,12.080000,12.310000,1361257200000000000
stock,vix,12.320000,14.680000,12.320000,14.680000,1361343600000000000
stock,vix,14.680000,16.210000,14.670000,15.220000,1361430000000000000
stock,vix,14.600000,15.020000,14.160000,14.170000,1361516400000000000
stock,vix,13.690000,19.280000,13.570000,18.990000,1361775600000000000
stock,vix,17.500000,18.230000,16.750000,16.870000,1361862000000000000
stock,vix,16.570000,16.600000,14.420000,14.730000,1361948400000000000
stock,vix,15.000000,15.600000,14.160000,15.510000,1362034800000000000
stock,vix,16.100000,16.820000,15.140000,15.360000,1362121200000000000
stock,vix,16.160000,16.160000,14.010000,14.010000,1362380400000000000
stock,vix,13.440000,13.660000,13.240000,13.480000,1362466800000000000
stock,vix,13.180000,13.770000,13.170000,13.530000,1362553200000000000
stock,vix,13.450000,13.560000,13.030000,13.060000,1362639600000000000
stock,vix,12.670000,13.300000,12.490000,12.590000,1362726000000000000
stock,vix,12.310000,12.340000,11.500000,11.560000,1362981600000000000
stock,vix,11.790000,12.930000,11.740000,12.270000,1363068000000000000
stock,vix,12.180000,12.550000,11.790000,11.830000,1363154400000000000
stock,vix,11.700000,11.750000,11.050000,11.300000,1363240800000000000
stock,vix,11.520000,11.990000,11.210000,11.300000,1363327200000000000
stock,vix,13.470000,13.640000,12.570000,13.360000,1363586400000000000
stock,vix,13.030000,15.400000,12.920000,14.390000,1363672800000000000
stock,vix,13.180000,13.180000,12.300000,12.670000,1363759200000000000
stock,vix,13.070000,14.210000,12.620000,13.990000,1363845600000000000
stock,vix,13.340000,13.850000,13.190000,13.570000,1363932000000000000
stock,vix,12.850000,14.610000,12.390000,13.740000,1364191200000000000
stock,vix,12.950000,13.210000,12.690000,12.770000,1364277600000000000
stock,vix,13.720000,13.970000,12.970000,13.150000,1364364000000000000
stock,vix,12.910000,13.070000,12.540000,12.700000,1364450400000000000
stock,vix,13.460000,14.050000,13.260000,13.580000,1364796000000000000
stock,vix,13.110000,13.180000,12.760000,12.780000,1364882400000000000
stock,vix,12.650000,14.660000,12.620000,14.210000,1364968800000000000
stock,vix,14.100000,14.790000,13.890000,13.890000,1365055200000000000
stock,vix,15.640000,15.650000,13.860000,13.920000,1365141600000000000
stock,vix,14.040000,14.500000,13.190000,13.190000,1365400800000000000
stock,vix,13.110000,13.680000,12.750000,12.840000,1365487200000000000
stock,vix,12.660000,12.880000,12.320000,12.360000,1365573600000000000
stock,vix,12.550000,12.620000,12.150000,12.240000,1365660000000000000
stock,vix,12.610000,13.120000,11.990000,12.060000,1365746400000000000
stock,vix,13.120000,17.270000,12.660000,17.270000,1366005600000000000
stock,vix,14.720000,14.870000,13.910000,13.960000,1366092000000000000
stock,vix,15.350000,17.900000,14.980000,16.510000,1366178400000000000
stock,vix,16.340000,18.200000,16.320000,17.560000,1366264800000000000
stock,vix,16.670000,16.980000,14.870000,14.970000,1366351200000000000
stock,vix,15.080000,16.000000,14.040000,14.390000,1366610400000000000
stock,vix,13.810000,14.870000,13.460000,13.480000,1366696800000000000
stock,vix,13.570000,13.750000,13.360000,13.610000,1366783200000000000
stock,vix,13.610000,13.870000,13.130000,13.620000,1366869600000000000
stock,vix,13.940000,14.180000,13.490000,13.610000,1366956000000000000
stock,vix,13.720000,13.940000,13.360000,13.710000,1367215200000000000
stock,vix,13.710000,14.280000,13.510000,13.520000,1367301600000000000
stock,vix,13.880000,14.670000,13.870000,14.490000,1367388000000000000
stock,vix,14.480000,14.480000,13.580000,13.590000,1367474400000000000
stock,vix,12.920000,13.150000,12.770000,12.850000,1367560800000000000
stock,vix,13.060000,13.190000,12.660000,12.660000,1367820000000000000
stock,vix,12.630000,12.960000,12.490000,12.830000,1367906400000000000
stock,vix,12.870000,13.040000,12.620000,12.660000,1367992800000000000
stock,vix,12.910000,13.530000,12.780000,13.130000,1368079200000000000
stock,vix,13.080000,13.450000,12.540000,12.590000,1368165600000000000
stock,vix,12.570000,12.870000,12.490000,12.550000,1368424800000000000
stock,vix,12.610000,13.210000,12.540000,12.770000,1368511200000000000
stock,vix,12.980000,13.430000,12.780000,12.810000,1368597600000000000
stock,vix,13.070000,13.460000,12.790000,13.070000,1368684000000000000
stock,vix,12.730000,12.940000,12.260000,12.450000,1368770400000000000
stock,vix,13.280000,13.280000,12.840000,13.020000,1369029600000000000
stock,vix,13.080000,13.440000,12.890000,13.370000,1369116000000000000
stock,vix,13.450000,14.450000,13.050000,13.820000,1369202400000000000
stock,vix,14.940000,15.110000,13.870000,14.070000,1369288800000000000
stock,vix,14.590000,14.790000,13.990000,13.990000,1369375200000000000
stock,vix,13.670000,14.560000,13.560000,14.480000,1369720800000000000
stock,vix,15.300000,15.650000,14.590000,14.830000,1369807200000000000
stock,vix,14.900000,14.980000,14.270000,14.530000,1369893600000000000
stock,vix,15.020000,16.350000,14.360000,16.300000,1369980000000000000
stock,vix,16.400000,17.580000,16.150000,16.280000,1370239200000000000
stock,vix,16.160000,17.250000,15.820000,16.270000,1370325600000000000
stock,vix,16.860000,17.840000,16.570000,17.500000,1370412000000000000
stock,vix,17.700000,18.510000,16.600000,16.630000,1370498400000000000
stock,vix,15.900000,16.210000,14.960000,15.140000,1370584800000000000
